Condition,Replicate,total_production
1mM NO2+ 2mMNH4,1,52.92410457
1mM NO2+ 2mMNH4,2,49.65718454
1mM NO2+ 2mMNH4,3,53.90418058
1mM NO2+ 2mMNH4,4,59.45794464
0mM NO2,5,1.796806019
0mM NO2,6,1.470114016
0mM NO2,7,1.796806019
0mM NO2,8,1.960152021
1mM NO2+ 2mMNH4,9,49.48034464
1mM NO2+ 2mMNH4,10,53.6914378
1mM NO2+ 2mMNH4,11,62.11362412
1mM NO2+ NO NH4,12,63.3167936
1mM NO2+ NO NH4,13,75.04769598
1mM NO2+ NO NH4,14,61.81283176
0mM NO2,15,1.503961843
0mM NO2,16,1.804754212
1mM NO2+ 2mMNH4,17,58.51312012
1mM NO2+ 2mMNH4,18,55.69856497
1day starvation 1mM NO2+ 2mMNH4,19,44.44034439
1day starvation 1mM NO2+ 2mMNH4,20,45.03288232
1day starvation 1mM NO2+ 2mMNH4,21,49.77318572
3day starvation 1mM NO2+ 2mMNH4,22,36.29294792
3day starvation 1mM NO2+ 2mMNH4,23,36.58921689
3day starvation 1mM NO2+ 2mMNH4,24,37.03362033
O2 addition with NH3 + 98.5,25,57.36242102
O2 addition with NH3 + 98.5,26,63.64593711
O2 addition with NH3 + 98.5,27,70.33484132
O2 addition with NH3 + 98.5,28,59.18666763
O2 addition with NH3 + 3x197,29,95.26621159
O2 addition with NH3 + 3x197,30,99.522787
O2 addition with NH3 + 3x197,31,95.06351752
O2 addition with NH3 + 3x197,32,104.9955268
1mM NO2+ NO NH4,33,65.62863507
1mM NO2+ NO NH4,34,70.19978379
1mM NO2+ NO NH4,35,73.13837939
1mM NO2+ NO NH4,36,71.8323369
O2 addition NO  NH4 + 2x197,37,68.73048599
O2 addition NO  NH4 + 2x197,38,86.68857021
O2 addition NO  NH4 + 2x197,39,70.52629441
O2 addition NO  NH4 + 2x197,40,76.56674092
ATU + O2 addition +1x197,41,59.38809626
ATU + O2 addition +1x197,42,63.58217086
ATU + O2 addition +1x197,43,51.98974868
ATU + O2 addition +1x197,44,66.76966755
O2 addition +1x97,45,66.93743053
O2 addition +1x97,46,65.59532666
O2 addition +1x97,47,65.76308965
O2 addition +1x97,48,63.41440787
0mM NO2,49,1.726741219
0mM NO2,50,2.072089463
0.05mM NO2+ 2mM NH4,51,27.28251127
0.05mM NO2+ 2mM NH4,52,29.18192661
0.05mM NO2+ 2mM NH4,53,30.90866783
10mM NO2+ 2mMNH4,54,60.26326856
10mM NO2+ 2mMNH4,55,57.15513437
10mM NO2+ 2mMNH4,56,65.09814397
