Geneid	Chr	Start	End	Strand	Length	./NV-Ctrl1.sam	./NV-Ctrl2.sam	./NV-Ctrl3.sam	./NV-Ctrl4.sam	./NV-Ctrl5.sam	./NV-Oxi1.sam	./NV-Oxi2.sam	./NV-Oxi3.sam	./NV-Oxi4.sam	./NV-Oxi5.sam		Average Ctrl	Average Oxi	Percentage Oxi	Ctrl Percentage
gene1359	CP007536.1	1086091	1086407	+	317	265685	215532	193378	262579	246001	4871598	4549490	4120875	3809581	4420852		236635	4354479.2	0.65530946	0.027695328
gene147	CP007536.1	139377	139656	+	280	113995	101769	79516	122429	112806	1269235	1284994	1095179	920466	1337039		106103	1181382.6	0.177787322	0.012418101
gene1782	CP007536.1	1427444	1431052	-	3609	1374108	1364434	1254852	1280874	1391012	1165097	1036427	540010	361663	950450		1333056	810729.4	0.122007391	0.156018436
gene1157	CP007536.1	923196	923741	+	546	17829	19426	13100	21119	15566	134823	11722	5540	85386	13740		17408	50242.2	0.007560994	0.0020374
gene194	CP007536.1	172145	172363	+	219	444	389	348	402	427	31837	19127	15641	37536	18043		402	24436.8	0.003677516	4.70493E-05
gene2011	CP007536.1	1608872	1609000	+	129	5651	6000	4334	5539	4743	18855	5933	2525	17274	8524		5253.4	10622.2	0.001598544	0.000614848
gene55	CP007536.1	43617	44759	-	1143	174774	161745	161601	197167	161970	16853	14875	5067	5389	6713		171451.4	9779.4	0.001471711	0.020066358
gene1304	CP007536.1	1039505	1040410	+	906	25975	22223	19125	28221	21135	8006	5849	6089	5231	9763		23335.8	6987.6	0.00105157	0.002731179
gene1103	CP007536.1	879063	883538	-	4476	6531	5670	4719	5455	6200	11259	7146	4250	5073	5464		5715	6638.4	0.000999019	0.000668873
gene1893	CP007536.1	1518598	1519974	-	1377	28908	24824	39304	71922	13929	5093	3839	4617	3966	10913		35777.4	5685.6	0.000855631	0.004187321
gene1750	CP007536.1	1406815	1407423	-	609	573	528	392	538	671	5890	3587	3732	7196	3884		540.4	4857.8		
gene3005	CP007536.1	2388523	2389086	+	564	97818	90950	89202	108826	79397	5119	4371	3798	4196	4638		93238.6	4424.4		
gene2135	CP007536.1	1701763	1702632	+	870	1635	1315	1197	1271	1298	4481	3452	1996	3053	2240		1343.2	3044.4		
gene294	CP007536.1	241807	242319	-	513	330	293	307	1052	305	2754	1633	1640	6959	1649		457.4	2927		
gene1435	CP007536.1	1150389	1151204	+	816	232561	224412	199770	213899	211753	3511	3435	1999	1728	3323		216479	2799.2		
gene1511	CP007536.1	1208701	1209606	-	906	11204	9830	7204	20908	6087	1570	1813	2945	1995	5384		11046.6	2741.4		
gene1507	CP007536.1	1204379	1205230	+	852	116	106	120	124	178	975	1153	2505	2434	5887		128.8	2590.8		
gene1109	CP007536.1	889408	892363	-	2956	7	5	47	51	16	28	0	11	12494	41		25.2	2514.8		
gene1110	CP007536.1	892440	892529	-	90	51813	58099	42375	49379	52082	4631	2671	1266	2075	1891		50749.6	2506.8		
gene2473	CP007536.1	1975231	1977399	+	2169	37461	33170	29176	32921	34214	3090	2330	1748	2241	2732		33388.4	2428.2		
gene1490	CP007536.1	1191345	1192301	+	957	1103	924	938	1330	881	1600	2001	2552	2904	2134		1035.2	2238.2		
gene1027	CP007536.1	821342	821503	+	162	551	514	599	1004	541	3838	1298	1288	1643	2253		641.8	2064		
gene3102	CP007536.1	2465946	2468231	+	2286	12242	10546	9229	8801	11765	1678	1559	1557	2052	1684		10516.6	1706		
gene1426	CP007536.1	1137089	1138159	-	1071	2654	2538	2255	2764	2375	2111	1832	1234	1761	1236		2517.2	1634.8		
gene2257	CP007536.1	1796115	1796513	+	399	893	940	725	842	951	2219	1611	1329	1437	1516		870.2	1622.4		
gene121	CP007536.1	112368	113879	+	1512	2235	2096	1707	1478	1786	1340	1526	1154	891	2078		1860.4	1397.8		
gene2876	CP007536.1	2292787	2293437	-	651	120164	128273	105132	125768	117085	1307	1690	1457	1035	1378		119284.4	1373.4		
