# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-a" "./GCA_000698785.1_ASM69878v1_genomic.gff" "-t" "gene" "-g" "ID" "-T" "8" "-o" "./counts_oxi.txt" "-s" "0" "./Nvie_2oxi_1_mRNA_sorted.bam" "./Nvie_2oxi_2_mRNA_sorted.bam" "./Nvie_2oxi_3_mRNA_sorted.bam" "./Nvie_2oxi_4_mRNA_sorted.bam" "./Nvie_2oxi_5_mRNA_sorted.bam" "./Nvie_ctrl_1_mRNA_sorted.bam" "./Nvie_ctrl_2_mRNA_sorted.bam" "./Nvie_ctrl_3_mRNA_sorted.bam" "./Nvie_ctrl_4_mRNA_sorted.bam" "./Nvie_ctrl_5_mRNA_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	./Nvie_2oxi_1_mRNA_sorted.bam	./Nvie_2oxi_2_mRNA_sorted.bam	./Nvie_2oxi_3_mRNA_sorted.bam	./Nvie_2oxi_4_mRNA_sorted.bam	./Nvie_2oxi_5_mRNA_sorted.bam	./Nvie_ctrl_1_mRNA_sorted.bam	./Nvie_ctrl_2_mRNA_sorted.bam	./Nvie_ctrl_3_mRNA_sorted.bam	./Nvie_ctrl_4_mRNA_sorted.bam	./Nvie_ctrl_5_mRNA_sorted.bam
gene0	CP007536.1	3	1442	+	1440	1020	328	325	98	359	11244	8378	10911	7958	10117
gene1	CP007536.1	1439	1834	+	396	241	156	36	78	410	1969	1624	2226	1086	1504
gene2	CP007536.1	1831	2433	-	603	24	54	104	0	404	1829	1041	1114	659	865
gene3	CP007536.1	2528	2956	+	429	12	0	0	0	0	11	4	40	10	10
gene4	CP007536.1	3375	3773	+	399	0	0	0	0	0	997	1222	1055	676	803
gene5	CP007536.1	4145	5557	+	1413	3073	2059	1434	1391	980	36729	35627	43967	21609	28102
gene6	CP007536.1	5567	6820	-	1254	264	200	262	0	120	8203	5092	5623	2648	5493
gene7	CP007536.1	6912	7388	+	477	8	256	120	0	0	3065	2855	2979	1310	1996
gene8	CP007536.1	7417	7710	-	294	914	490	648	432	267	8196	7117	5570	2467	3017
gene9	CP007536.1	7765	8532	+	768	594	937	438	905	846	6783	3250	2563	1291	2249
gene10	CP007536.1	8578	10092	+	1515	1043	1648	1210	1399	1717	9351	7066	7439	3296	5589
gene11	CP007536.1	10142	10774	+	633	146	0	78	0	176	1219	964	1238	825	919
gene12	CP007536.1	10768	11598	-	831	265	24	106	96	306	3069	2185	2524	1743	2941
gene13	CP007536.1	11961	12896	+	936	1114	272	360	315	0	3553	2059	2079	870	1518
gene14	CP007536.1	12964	13920	+	957	1388	1318	556	374	1136	7400	4184	5850	2948	5439
gene15	CP007536.1	13959	15143	+	1185	354	437	194	634	366	2842	1604	2599	1106	1498
gene16	CP007536.1	15152	16015	-	864	215	254	226	752	912	5574	3058	2795	1219	2658
gene17	CP007536.1	16338	17015	+	678	4	0	256	0	0	421	453	507	376	472
gene18	CP007536.1	17029	17385	+	357	0	0	0	0	0	103	363	320	190	169
gene19	CP007536.1	17514	18347	+	834	408	528	480	421	118	3042	3138	3534	1977	2775
gene20	CP007536.1	18385	18855	-	471	12	79	94	324	801	4967	3824	4055	1602	2306
gene21	CP007536.1	18834	19301	-	468	19	65	28	135	0	4242	3613	3326	1737	2958
gene22	CP007536.1	19294	19644	-	351	304	106	408	310	226	6761	5119	4786	2238	3740
gene23	CP007536.1	19704	20360	-	657	450	128	132	317	424	13918	8798	9191	5302	7376
gene24	CP007536.1	20489	21178	+	690	615	607	266	422	448	2767	2804	3666	1599	2423
gene25	CP007536.1	21456	22145	+	690	2925	2535	2312	2440	2465	16915	9185	12599	7510	13848
gene26	CP007536.1	22142	22882	+	741	3203	4561	4935	4198	6438	13292	5601	9445	5345	9802
gene27	CP007536.1	22879	23703	+	825	5278	8180	7222	6643	9836	21306	16302	17929	7096	14075
gene28	CP007536.1	23720	23926	+	207	752	530	780	422	803	3544	1798	2505	1554	2854
gene29	CP007536.1	23901	24149	+	249	60	24	35	274	219	2206	1782	1647	696	1376
gene30	CP007536.1	24271	24582	+	312	126	212	86	384	0	2763	2526	2044	1223	1806
gene31	CP007536.1	24621	25346	+	726	78	159	223	28	0	3954	2846	2816	1481	2065
gene32	CP007536.1	25381	26151	+	771	57	158	22	0	0	2918	1683	1618	608	1236
